company_name,domain,partner_tech,vertical,country,icp_tier,icp_tier_name,lead_score,sw_monthly_visits,sw_bounce_rate,sw_pages_per_visit,sw_search_traffic_pct,tech_spend
"Nissan Motor Co. Ltd",nissan.lt,"Adobe Experience Manager",Unknown,FR,1,Commerce,60,,,,,25846
Nissan,nissan.co.il,"Adobe Experience Manager","Automotive And Vehicles",IL,1,Commerce,60,,,,,25715
"Briggs & Stratton Corporation",branco.com.br,"Adobe Experience Manager","Law, Govt And Politics",BR,1,Commerce,60,,,,,25690
"MAXIMUS Canada Inc",maximuscanada.ca,"Adobe Experience Manager","Business And Industrial",CA,1,Commerce,60,,,,,25654
"Kellogg NA Co",cheezit.com,"Adobe Experience Manager","Food And Drink",US,1,Commerce,60,,,,,25624
"",fi-events.com.br,"Adobe Experience Manager","Food And Drink",GB,1,Commerce,60,,,,,25465
"Cadillac Canada",cadillaccanada.ca,"Adobe Experience Manager","Automotive And Vehicles",CA,1,Commerce,60,,,,,25254
"CereX B.V",cerex.nl,"Adobe Experience Manager","Law, Govt And Politics",NL,1,Commerce,60,,,,,25253
Mercedes-Benz,mbusa.com,"Adobe Experience Manager","Automotive And Vehicles",US,1,Commerce,60,,,,,25143
"Vancouver Harbour Flight Centre",vhfc.ca,"Adobe Experience Manager","Business And Industrial",CA,1,Commerce,60,,,,,25140
"Golden Outlook Insurance Services",goldenoutlook.com,"Adobe Experience Manager",Pets,US,1,Commerce,60,,,,,25060
"Bank of Nova Scotia",banquescotia.com,"Adobe Experience Manager","Business And Industrial",CA,1,Commerce,60,,,,,25021
"Miles & More",miles-and-more.com,"Adobe Experience Manager","Technology And Computing","",3,"Internal Support",55,6054821,,,,43622
"Microchip Technology Incorporated",microchip.com,"Adobe Experience Manager","Technology And Computing",US,3,"Internal Support",55,1332073,,,,50164
"Allianz SE",allianz.hu,"Adobe Experience Manager",Sports,HU,1,Commerce,55,,,,,24975
"CIMB Bank Cambodia PLC",cimbbank.com.kh,"Adobe Experience Manager","Business And Industrial",JP,1,Commerce,55,,,,,24912
"",mhr.co.za,"Adobe Experience Manager","Business And Industrial",ZA,1,Commerce,55,,,,,24868
Mastercard,mastercard.fi,"Adobe Experience Manager",Shopping,FI,1,Commerce,55,,,,,24800
Mastercard,mastercard.it,"Adobe Experience Manager",Pets,IT,1,Commerce,55,,,,,24800
"Novo Nordisk",novonordisk.se,"Adobe Experience Manager","Health And Fitness",SE,1,Commerce,55,,,,,24617
Alecensa,alecensa.com,"Adobe Experience Manager","Health And Fitness","",1,Commerce,55,,,,,24604
"CIMB Bank",cimbbank.com.vn,"Adobe Experience Manager","Religion And Spirituality",MY,1,Commerce,55,,,,,24602
"",protea.marriott.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,24498
"Shell Plc",shell.com.au,"Adobe Experience Manager","Business And Industrial",AU,1,Commerce,55,,,,,24411
"",saltlakemoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",clairemontsmilesdentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"SoDo Smiles Dentistry",sodosmilesdentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Woods Dental Group",woodsdentalgroup.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Downey Promenade Dental Group",downeypromenadedentalgroup.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Mesquite Dental Group",mesquitedentalgroup.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Daniels Modern Dentistry",danielsmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Monet Dental Group",monetdentalgroup.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Snellville Smiles Dentistry",snellvillesmilesdentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Dentists of Rowlett",dentistsofrowlett.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",dentistsofstudiocity.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Hemet Modern Dentistry",hemetmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",renomoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Downey Modern Dentistry",downeymoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",sugarlandmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",mesavalleymoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Catalina Smiles Dentistry",catalinasmiles.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Desert Crossing Dental Group",desertcrossingdental.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Tangerine Dental Group",tangerinedentalgroup.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Southcenter Modern Dentistry",southcentermoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Dentists of Glendale",dentistsofglendale.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Sparks Marina Dentistry",sparksmarinadentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"East Murrieta Dental Group",eastmurrietadental.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Santee Smiles Dentistry",santeesmilesdentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",scottsdaleandsheadentalgroup.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",dentistsoflakeworth.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",dentistsofhighlandpark.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Spring Market Dental Group",springmarketdentalgroup.com,"Adobe Experience Manager","Health And Fitness",AU,1,Commerce,55,,,,,24301
"Woodbridge Dental Group",woodbridgedentalgroup.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",simivalleysmiles.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",cheyennemtnmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Bristow Fountain Dentistry",bristowfountaindentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Mission Valley Dentists",missionvalleydentists.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Bulverde Dentistry",bulverdedentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",montecitotowncenterdental.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Elk Grove Dental Group",elkgrovedental.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Champlin Dentistry",champlindentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Promenade Dental Group",promenadedentist.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",deerspringsmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",marylandparkwaysmilesdentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Springdale Modern Dentistry",springdalemoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
